ingredient_name,INCI_name,CAS_number,supplier_count,Source
Berberine HCl,Berberine,633-65-8,42,Gangwal Healthcare; Shaanxi Pioneer Biotech; Xi’an App-Chem
Glucomannan,Amorphophallus Konjac Root Powder,37220-17-0,58,NOW Health Group; Baoji Konjac Chem; Green Fresh Group
Epigallocatechin Gallate (EGCG),Camellia Sinensis Leaf Extract,989-51-5,35,Taiyo International; DSM; Zhejiang Yixin
Resveratrol,Resveratrol,501-36-0,47,Evolva; Sabinsa; Xi’an Natural Field
Chromium Picolinate,Chromium Picolinate,14639-25-9,31,Nutrition 21; Balchem; Gangwal Healthcare
Capsaicin,Capsicum Annuum Fruit Extract,404-86-4,28,Synthite Industries; Chenguang Biotech; Shaanxi Jiahe
Synephrine,Citrus Aurantium Extract,94-07-5,22,Shaanxi Sciphar; Nutra Green Biotechnology; Hunan Nutramax
Forskolin,Coleus Forskohlii Root Extract,66575-29-9,19,Sabinsa; Natural Remedies; Alchem International
Alpha-Lipoic Acid,Thioctic Acid,62-46-4,64,BASF; GeroNova Research; Zhejiang Medicine Co.
L-Carnitine,Carnitine,541-15-1,72,Lonza; Sigma-Tau; Biosint
Naringenin,Naringenin,480-41-1,18,Shaanxi Huike; Hunan Sunfull; Extrasynthese
Apigenin,Apigenin,520-36-5,25,Indena; Shaanxi Undersun; Cayman Chemical
Quercetin,Quercetin,117-39-5,53,Indena; DSM; Hunan Sunfull
Kaempferol,Kaempferol,520-18-3,14,Extrasynthese; Chengdu Biopurify; Shaanxi Pioneer
Baicalein,Baicalein,491-67-8,16,Shaanxi Undersun; Chengdu Biopurify; Cayman Chemical
Genistein,Genistein,446-72-0,27,DSM; Shaanxi Pioneer; Indena
Hesperidin,Hesperidin,520-26-3,33,Naturex (Givaudan); Xi’an Sgonek; Chenguang Biotech
Chlorogenic Acid,Chlorogenic Acid,327-97-9,39,Naturex (Givaudan); Taiyo International; Xi’an Lyphar
Guggulsterone,Commiphora Mukul Resin Extract,95975-55-6,12,Sabinsa; Alchem International; Natural Remedies
Catechin,Catechin,154-23-4,45,Taiyo International; DSM; Zhejiang Yixin
