"Category","Core Biology","Pathway name (standardized)","Key molecular nodes","Plant","target_included","extract_type","cell_lines","parameter","effect_on_target","source_id","abstract"
"Longevity & Cellular Resilience","Energy sensing","AMPK–mTOR nutrient-sensing pathway","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓","Agastache rugosa","AMPK; STAT3; CYP2E1","","Male Kunming mice, Human Chang liver cells","","inhibited CYP2E1 expression, inhibited STAT3 phosphorylation, and activated AMPK phosphorylation","30974967; 39721450","Thymoquinone (TQ) is a main aromatic component of Nigella sativa L. seeds or Agastache rugosa (Fisch.  C.A.Mey.) Kuntze. The protective mechanism of TQ against acute liver injury induced by acetaminophen (APAP), however, remains unclear. We aimed to investigated the hepato-protective mechanism of TQ on the development of APAP-induced acute liver injury. Male kunming mice were pretreated with TQ or N-acetylcysteine (NAC) before a single APAP injection. Human Chang liver cells were incubated with TQ, SP600125 or AICAR in presence of APAP for 24 h. TQ pretreatment reduced levels of serum aminotransferases and increased hepatic glutathione and glutathione peroxidase activities via inhibiting CYP2E1 expression. TQ inhibited JNK, ERK and P38 phosphorylation induced by APAP. Meanwhile, TQ inhibited PI3K/mTOR signaling activation and activated AMPK phosphorylation. Moreover, TQ prevented APAP-induced hepatocytes apoptosis regulated by Bcl-2 and Bax. Furthermore, TQ inhibited STAT3 phosphorylation on APAP-induced acute liver injury. In addition, TQ significantly inhibited P2X7R protein expression and IL-1 β release. APAP-enhanced JNK phosphorylation and APAP-suppressed AMPK phosphorylation were also observed in Chang liver cells, and these changes were recovered by pretreatment with TQ, SP600125 and AICAR. Our findings suggest that TQ may actively prevent APAP-induced acute liver injury, and the effect may be mediated by JNK and AMPK signaling pathways."
"","","","","American ginseng","AMPK; SOD; GSH","","rat","","the activity of SOD, GSH-PX, and AMPK were measured but no specific quantitative effect of American ginseng on these targets was reported","35202711","Ginseng has been used for thousands of years, it is described as both a tonic for restoration of strength and a panacea. However, the adverse effect is also reported clinically. In the theory of Traditional Chinese Medicine, the occurrence of adverse reactions is closely related to warm property of ginseng, which can easily lead to fireness (, in Chinese). Several presumptions indicated that fireness of ginseng may be associated with the pathophysiology of inflammation, imbalance of metabolism, the disorder of hypothalamus-pituitary-adrenal axis, and hypothalamus-pituitary-thyroid axis. The tonifying effect of ginseng medicines was always focused on with little attention for their adverse effects. We selected red ginseng (RG), ginseng (GS), American ginseng (AG), and ginseng leaves (GL) as typical ginseng medicines to clarify correlations of adverse effect and tonifying effect of ginseng medicines. The RG, GS, AG, and GL decoctions were orally administered to rats for 30 days consecutively. The appearance indicators such as saliva secretion, urinary output, fecal moisture, heart rate were determined, and hair condition, nose color were also observed. Furthermore, some biochemical indexes such as IL-6, T3, T4, TSH, ACTH, CORT, Ach, DA, EPI, NE, SP, VIP, cAMP, cGMP, AQP-5, AMPK, and the activity of SOD, GSH-PX, Na[+]-K[+]-ATPase were measured by biochemical reagent kits or enzyme-linked immunosorbent assay (ELISA). The metabolites profile was analyzed by UPLC-QTOF-MS. Finally, the diversity of gut microbiota was also analyzed with the 16S rDNA sequencing. The study revealed the tonifying effects of ginseng medicines mainly on exciting nervous system, promoting immunity and antioxidative ability. While, the adverse effects were mainly associated with the abnormal nervous system, thyroid system, adrenal system, and oxidative stress. The GS group showed fireness symptoms, such as vertical and dirty hair, epistaxis, higher rectal temperature, lower salivary secretion, lower urinary output, lower fecal moisture. While the GL group showed the opposite symptoms. The levels of hormones, activities of the antioxidative enzyme, and Na[+]-K[+]-ATP enzyme were changed differently. From the second week to the fourth week, the levels of T3, T4, TSH, ACTH, CORT, and the activity of SOD, GSH-PX, Na[+]-K[+]-ATP enzymes were first increased, then decreased, and finally recovered to normal levels. We also found that the ginseng medicines mainly adjust the amino acid and TCA cycle metabolism exhibiting their tonifying and adverse effects. Meanwhile, GS and AG can modulate gut microbiota imbalance by increasing the gut microbial diversity as well as selectively promoting some probiotic populations, including Lactobacillus and Bifidobacterium. This is the first time to report the correlations between tonifying effects and adverse effects of four ginseng medicines. The present study demonstrated that the adverse effects of ginseng medicines mostly depended on their dosages, the higher dosage is, the more serious the adverse effects are. The adverse effects of ginseng and ginseng leaves are much more serious than red ginseng and American ginseng. The tendency of water regulation of ginseng and ginseng leaves was opposite may be related to their nature property."
"","","","","Angelica","AMPK","","3T3-L1","5 μM","activated AMPK through phosphorylation","23681764","Adipocytes differentiation is deeply involved in the onset of obesity. 4-Hydroxyderricin (4HD) and xanthoangelol (XAG) are the chalcones that are derived from Ashitaba (Angelica keiskei). In this study, we demonstrated the inhibitory effects of these chalcones on adipocytes differentiation. 4HD and XAG suppressed intracellular lipid accumulation by Oil red O staining at 5 μM without cytotoxicity. They inhibited adipocytes differentiation accompanied by down-expression of adipocyte-specific transcription factors, CCAAT/enhancer-binding protein-β (C/EBP-β), C/EBP-α, and peroxisome proliferator-activated receptor gamma (PPAR-γ) using RT-PCR and Western blotting analysis. To obtain insights into the underlying mechanism, the activation of AMP-activated protein kinase (AMPK) and mitogen-activated protein kinase pathways was investigated. These two chalcones promoted phosphorylation of AMPK and acetyl CoA carboxylase during differentiation of 3T3-L1 adipocytes accompanied by a decrease in glycerol-3-phosphate acyl transferase-1 and an increase in carnitine palmitoyltransferase-1 mRNA expression. These chalcones also promoted phosphorylation of extracellular signal-regulated kinases and Jun aminoterminal kinases, but not p38. Moreover, the inhibitors for AMPK and extracellular signal-regulated kinases abolished the chalcones-caused down-expression of C/EBP-β, C/EBP-α, and PPAR-γ. Treatment with Jun aminoterminal kinases inhibitor abolished the down-expression of C/EBP-α and PPAR-γ, but not C/EBP-β. 4HD and XAG inhibit adipocytes differentiation through AMPK and mitogen-activated protein kinase pathways, resulting in the down-expression of adipocyte-specific transcription factors."
"","","","","Angelica dahurica","AMPK; SIRT1","","mice","30, 45, 60 mg/kg","increased SIRT1 expression and phosphorylation of AMPK","32454943; 38102654; 38943694; 41344522","Hyperlipidemia, inadequate diet, and excessive medication increase the risk of cardiovascular disease. Paeonl (Pae), a phenolic compound found in Peony and Angelica dahurica, can alleviate lipid metabolism disorders and lipotoxicity. However, the molecular mechanism of Pae alleviating hyperlipidemia remains unclear and needs to be further explored. In this study, we explored whether Pae can prevent hyperlipidemia and investigated the molecular mechanisms. The effects of Pae (30, 45, 60mg·kg[-1]) on hyperlipidemia in Tyloapol-induced WT mice and Nrf2 knockout mice (Pae: 60mg·kg[-1]) were detected by oil red O staining, HE staining, TG, TC and other indexes. The expression levels of proinflammatory mediators, key lipid proteins and autophagy signaling pathway proteins were analyzed by enzyme-linked immunosorbent assay, western blot and immunofluorescence. The molecular mechanism of Pae alleviating hyperlipidemia was explored through molecular docking technique and in vivo and in vitro experiments. Several studies indicated that Pae effectively improved tyloxapol (Ty)-induced lipid metabolism disorder, as evidenced by decreased triglyceride content, increased carnitine palmitoyltransferase 1 (CPT1), and Sirtuin 1 (Sirt1) protein expression. In addition, Pae ameliorated hyperlipidemia by activating the AMPK/ACC and PI3K/mTOR pathways. Interestingly, the therapeutic effect of Pae on hyperlipidemia was markedly reduced in Nrf2[-/-] mice. Molecular docking results indicated that Pae and Nrf2 exhibited good binding ability, suggesting that Nrf2 is a core target mediating the effects of Pae in the treatment of hyperlipidemia. Taken together, Pae alleviated hyperlipidemia in vivo and ameliorated lipid accumulation in vitro by activating AMPK/ACC and PI3K/mTOR signaling pathways via Nrf2 binding. Our data suggest that paeonol can ameliorate hyperlipidemia and autophagy in mice by regulating Nrf2 and AMPK/mTOR pathways, and it has potential therapeutic value in the occurrence and development of hyperlipidemia."
"","","","","Angelica sinensis","AMPK","water extract","BALB/c mice","","activated adiponectin-SIRT1-AMPK signaling","27189109; 30114701; 30232231; 32065782; 38398662; 39551284; 41218379","This study aimed to investigate the therapeutic effects of Angelica sinensis polysaccharide (ASP), an active component derived from a water extract of Angelica sinensis, in high-fat diet (HFD)-fed BALB/c mice. The potential mechanisms underlying the activity of this compound were also considered. Specifically, serum and hepatic biochemical parameters were evaluated, and key proteins involved in the lipid/glucose metabolism were analyzed. Long-term feeding with a HFD induced severe fatty liver and hyperglycemia. Histological examination clearly showed that ASP reduced lipid accumulation in the liver and attenuated hepatic steatosis in HFD-fed mice. In addition, ASP markedly alleviated serum and liver lipid disorders and fatty liver via the upregulation of PPARγ expression and the activation of adiponectin-SIRT1-AMPK signaling. Furthermore, ASP also significantly relieved severe oxidative stress, demonstrating that ASP might attenuate nonalcoholic fatty liver disease via a ""two-hit"" mechanism. In addition, ASP reduced blood glucose levels and ameliorated insulin resistance via the regulation of related metabolic enzymes and by activating the PI3K/Akt pathway in HFD-fed mice. Our findings revealed that ASP might be used as an alternative dietary supplement or health care product to ameliorate metabolic syndrome in populations that consistently consume HFDs."
"","","","","Arabinoxylan","AMPK; SREBP-1c","","Zucker diabetic fatty rats","","changed expressions of adipose AMPK and SREBP-1c","23656567; 41286850","The health-promoting effects of dietary fiber may vary with content, structure, and composition in the diet. The aim was to study how low-fiber wheat bread (WB), wheat bread supplemented with wheat arabinoxylan (AX) or oat β-glucan (BG), whole meal rye bread (RM), and rye bread with kernels (RK) affected central parameters of glucose and lipid metabolism and gene changes of Zucker diabetic fatty rats. Blood glucose response areas after an oral glucose tolerance test were significantly lower after AX (mean ± SEM; 2117 ± 170 mmol/L·180 min), RM (1978 ± 206 mmol/L·180 min), and RK (2234 ± 262 mmol/L·180 min) breads than after WB (3586 ± 100 mmol/L·180 min; p  0.0001). AX, RK, and RM changed expressions of adipose GAPDH, AMPK, FAS, SREBP-1c, and hepatic PCG-1α, whereas BG had similar effects as WB. Thus, arabinoxylan added to wheat bread had beneficial effects on glycemic control as whole grain rye bread in this animal model."
"","","","","Ashitaba","AMPK; GLUT4","","3T3-L1, HepG2, C57BL/6 mice","0.01% and 0.1% (w/w)","increased phosphorylation of AMPK in adipose tissue and liver, upregulated PPARα expression","25406632; 38267744; 39924833","Two main chalcones, 4-hydroxyderricin and xanthoangelol, from Ashitaba, which is a food ingredient and a folk medicine in Asia, have been demonstrated to modulate lipid metabolism in 3T3-L1 and HepG2 cells. In this study, we investigated the effects of Ashitaba extract on adiposity in mice fed a high-fat (HF) diet and its underlying mechanisms based on adipose tissue and hepatic lipid metabolism. C57BL/6 mice were fed a normal or HF diet supplemented with Ashitaba extract (0.01% and 0.1%, w/w) for 16 weeks. Ashitaba extract suppressed the HF diet-induced body weight gain and fat deposition in white adipose tissue, reduced plasma cholesterol, glucose, and insulin levels, increased the adiponectin level, lowered triglyceride and the liver cholesterol content, increased phosphorylation of AMP-activated protein kinase (AMPK) in adipose tissue and liver, inhibited lipogenesis in adipose tissue by down-expression of peroxisome proliferator-activated receptor (PPAR) γ, CCAAT/enhancer-binding protein α and sterol regulatory element-binding protein 1 (SREBP1), inhibited lipogenesis in the liver by down-expression of SREBP1 and its target enzyme fatty acid synthase, and promoted fatty acid oxidation by up-expression of carnitine palmitoyltransferase-1A and PPARα. In conclusion, Ashitaba extract can possibly prevent adiposity through modulating lipid metabolism through phosphorylation of AMPK in adipose tissue and liver."
"","","","","Aspalathus linearis","AMPK","aqueous","mice","10 μg/ml and 100 μg/ml","activated AMPK through regulation of cellular energy homeostasis","21211952; 23639187; 24060217; 25410530; 33605975","Rooibos (Aspalathus linearis) contains a rich complement of polyphenols, including flavonoids, considered to be largely responsible for its health promoting effects, including combatting obesity. The purpose of this study was to examine the effect of fermented rooibos hot water soluble solids on in vitro adipocyte differentiation by using differentiating 3T3-L1 adipocytes. Hot water soluble solids were obtained when preparing an infusion of fermented rooibos at ""cup-of-tea"" strength. The major phenolic compounds (5 mg/g) were isoorientin, orientin, quercetin-3-O-robinobioside and enolic phenylpyruvic acid-2-O-β-D-glucoside. Treatment of 3T3-L1 adipocytes with 10 μg/ml and 100 μg/ml of the rooibos soluble solids inhibited intracellular lipid accumulation by 22% (p0.01) and 15% (p0.05), respectively. Inhibition of adipogenesis was accompanied by decreased messenger RNA (mRNA) expression of PPARγ, PPARα, SREBF1 and FASN. Western blot analysis exhibited decreased PPARα, SREBF1 and AMPK protein expression. Impeded glycerol release into the culture medium was observed after rooibos treatment. None of the concentrations of rooibos hot water soluble solids was cytotoxic, in terms of ATP content. Interestingly, the higher concentration of hot water soluble solids increased ATP concentrations which were associated with increased basal glucose uptake. Decreased leptin secretion was observed after rooibos treatment. Our data show that hot water soluble solids from fermented rooibos inhibit adipogenesis and affect adipocyte metabolism, suggesting its potential in preventing obesity."
"","","","","Astragalus","AMPK","polysaccharide","RAW264.7","100-1600 μg/mL","activated AMPK","23103623; 25922268; 27902477; 29234390; 30347867; 30483732; 39159793; 39167929; 40170084; 41537354; 19960007; 22728372; 23563695; 29958399; 30170064; 32431616; 34438030; 34787291; 34962345; 35322740; 35422858; 35726797; 35866893; 35905545; 36156425; 36588732; 37733667; 38201929; 38972527; 39289935; 39706467; 40043828; 40617307; 41109591; 41508017","To establish the mechanism responsible for the stimulation of glucose uptake by Astragalus polysaccharide (APS), extracted from Astragalus membranaceus Bunge, in L6 myotubes in vitro. APS-stimulated glucose uptake in L6 myotubes was measured using the 2-deoxy-[(3)H]-D-glucose method. The adenine nucleotide contents in the cells were measured by HPLC. The phosphorylation of AMP-activated protein kinase (AMPK) and Akt substrate of 160 kDa (AS160) was examined using Western blot analysis. The cells transfected with 4P mutant AS160 (AS160-4P) were constructed using gene transfer approach. Treatment of L6 myotubes with APS (100-1600 μg/mL) significantly increased glucose uptake in time- and concentration-dependent manners. The maximal glucose uptake was reached in the cells treated with APS (400 μg/mL) for 36 h. The APS-stimulated glucose uptake was significantly attenuated by pretreatment with Compound C, a selective AMPK inhibitor or in the cells overexpressing AS160-4P. Treatment of L6 myotubes with APS strongly promoted the activation of AMPK. We further demonstrated that either Ca(2+)/calmodulin-dependent protein kinase kinase β (CaMKKβ) or liver kinase B1 (LKB1) mediated APS-induced activation of AMPK in L6 myotubes, and the increased cellular AMP: ATP ratio was also involved. Treatment of L6 myotubes with APS robustly enhanced the phosphorylation of AS160, which was significantly attenuated by pretreatment with Compound C. Our results demonstrate that APS stimulates glucose uptake in L6 myotubes through the AMP-AMPK-AS160 pathway, which may contribute to its hypoglycemic effect."
"","","","","Bacillus subtilis","AMPK; GLUT4","natto freeze-drying extract, natto water extract","3T3-L1","0.5 microM (elevated expression), 5 microM (non-toxic)","increased phosphorylation of AMPK and increased mRNA expression of GLUT4, resulting in significant increase in glucose uptake","23648852; 25445511; 33513408; 35832333; 39265519; 41412655","We have demonstrated that 1-deoxynojirimycin (DNJ) isolated from Bacillus subtilis MORI could enhance the levels of adiponectin and its receptors in differentiated 3T3-L1 adipocytes, which has been shown to be effective in lowering blood glucose levels and enhancing insulin sensitivity. DNJ was not toxic to differentiated 3T3-L1 adipocytes for up to a concentration of 5 microM. In terms of expression levels of adiponectin and its receptors (AdipoR1 and AdipoR2), DNJ in concentrations as low as 0.5 microM elevated both mRNA and protein levels of adiponectin and transcript levels of AdipoR1 and AdipoR2. In addition, DNJ increased phosphorylation of 5' adenosine monophosphateactivated protein kinase (AMPK) in a statistically significant manner. Finally, treatment with DNJ resulted in increased mRNA expression of glucose transporter 4 (GLUT4), which encodes for a glucose transporter, along with a significant increase in glucose uptake into the adipocytes based on results of a 2-deoxy-D-[3H] glucose uptake assay. Our findings indicate that DNJ may greatly facilitate glucose uptake into adipose tissues by increasing the action of adiponectin via its up-regulated expression as well as its receptor genes. In addition, the glucose-lowering effects of DNJ may be achieved by an increased abundance of GLUT4 protein in the plasma membrane, as a consequence of the increased transcript levels of the GLUT4 gene and the activation of AMPK."
