source_id,abstract,included_plant_compound,matched_name,no,included_target,extract_type,cell_lines,parameter,effect_on_target,pathway_name,core_biology,categories
1287275,"The effect of Ginkgo biloba extract (GBE) on the content of hydrogen peroxide was estimated in cerebellar neurons dissociated from rats, by means of a flow-cytometer and 2',7'-dichlorofluorescein (DCF) diacetate, a fluorescent dye for intracellular hydrogen peroxide. The GBE started to reduce the DCF fluorescence of the neuron at 0.1 microgram/ml to 0.3 microgram/ml. Further increases in the GBE concentration (up to 3 micrograms/ml) produced a dose-dependent decrease in the DCF fluorescence, suggesting that GBE reduces the content of hydrogen peroxide or suppresses the reactive oxygen species (ROS) formation of cerebellar neurons. The present technique may be useful for preliminary evaluations of agents affecting the ROS formation in mammalian brain neurons.",Ginkgo nut,Ginkgo biloba,17,ROS,Ginkgo biloba extract,rat cerebellar neurons,0.1-0.3 μg/mL and up to 3 μg/mL,suppresses ROS formation,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
1945294,"In Sprague-Dawley rats, retinal ischemia was induced by occlusion of the central retinal artery, while reperfusion was initiated by unclamping and removing the occluder. Ninety minutes of regional ischemia followed by 24 h of reperfusion resulted in a development of retinal edema in the inner plexiform layer and a migration of neutrophils into the retinal tissue. Oxygen free radicals have been implicated as inducers of cell damage in different tissues. This finding has led us to speculate that, if oxygen free radicals play an important role in the development of reperfusion injury, superoxide dismutase (SOD) and EGB 761 (Tanakan, extract of Ginkgo biloba, IPSEN) should be protective against reperfusion-induced injury. Under our experimental conditions, SOD dose-dependently reduced the development of edema formation (which was expressed in micrometers, measuring the thickness of the inner plexiform layer). Thus, 3,750, 7,500 and 15,000 U/kg of SOD reduced the reperfusion-induced edema formation from its drug-free ischemic value of 112 +/- 4 to 107 +/- 7, 91 +/- 6 (p less than 0.05) and 85 + 4 microns (p less than 0.001), respectively. Furthermore, SOD significantly reduced the migration of neutrophils which can also contribute to the development of reperfusion-induced injury. The same protective effect was observed, concerning the edema formation and neutrophil migration, in the EGB 761-treated groups. Our results indicate that free radicals play an important role in the development of reperfusion-induced injury, and the treatment of ischemic and reperfused retina with free radical scavengers may reduce the severity of reperfusion damage.",Ginkgo nut,Ginkgo biloba,17,SOD,EGB 761,Sprague-Dawley rats,,,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
2018556,"The in vitro effect of cyclosporin A (CsA) on lipid peroxidation in human liver microsomes was investigated, and efforts were made to prevent the resulting toxic effect of CsA. Microsomes were prepared from human liver resection material and incubated with CsA (0, 10, 30, 100, 300, 1000 micrograms/mL) for one hour (pH 7.4, 37 degrees, 95% O2, 5% CO2). Subsequently the resulting concentrations of malondialdehyde equivalents (MDA) were determined, a breakdown product of lipid peroxidation. Furthermore the duration of incubation was varied (0, 15, 30, 60, 90 min) using a CsA concentration of 300 micrograms/mL. CsA was shown to stimulate MDA-formation to up to 10-fold of the control value in both a time and concentration dependent manner. The dosage dependent experiment stated above was repeated, adding alpha-tocopherol (vitamin E, 1 mM), reduced glutathione (GSH, 1 mM), N-acetylcysteine (0.1, 0.3, 1, 3 mM), and Ginkgo biloba extract (Gbe, 15, 50, 150 micrograms/mL), respectively, to the medium of incubation. Vitamin E, a potent radical scavenger, proved to inhibit lipid peroxidation almost totally. Both GSH and N-acetylcysteine were also able to prevent lipid peroxidation, suggesting that the antioxidant effect of GSH might be caused by its thiol group and does not depend on the integrity of the whole molecule. Gbe inhibited CsA induced lipid peroxidation in a concentration dependent manner. This effect of Gbe was diminished yet not totally abolished when FeCl3 was added to the medium of incubation, whereas N-acetylcysteine even slightly enhanced CsA stimulated lipid peroxidation in the presence of iron. These results suggest that Gbe might be able to prevent radical mediated damage to human membranes caused by CsA.",Ginkgo nut,Ginkgo biloba,17,GSH,Ginkgo biloba extract,,"Ginkgo biloba extract (Gbe, 15, 50, 150 micrograms/mL)",,Glutathione redox defense pathway,Oxidative stress,Liver Health / Fibrosis
7628734,"Clastogenic factors (CFs) were first described in the blood of persons irradiated accidentally or for therapeutic reasons. Work of our laboratory has shown that they occur also under other circumstances, which are characterized by oxidative stress, and that CF-induced chromosome damage is regularly prevented by superoxide dismutase (SOD). Recently we found CFs in a high percentage of salvage personnel of the Chernobyl reactor accident. These liquidators represent a high-risk population and might benefit from cancer chemoprevention by antioxidants. SOD would have to be injected and is not appropriate for long-term prophylactic treatment. In the present study, we therefore evaluated the anticlastogenic effect of the Ginkgo biloba extract EGb 761, which is known for its superoxide scavenging properties. EGb 761 was tested on CF-treated blood cultures of healthy donors. After establishing the optimal protective EGb concentration, using CFs produced by irradiation of whole blood from healthy volunteers, the extract was tested on cultures exposed to CFs from plasma of persons irradiated as liquidators. The anticlastogenic effect could be confirmed for a final concentration of 100 micrograms/ml. In 12 consecutive experiments, CFs induced an average of 18.00 +/- 4.41 aberrations/100 cells. This was reduced to 7.33 +/- 3.08 in the parallel cultures receiving 100 micrograms/ml EGb 761 (p  .001). SOD was anticlastogenic in the same system at concentrations of 30 cytochrome C units/ml (approximately 10 micrograms/ml). Preliminary results obtained in a small series of liquidators showed regression or complete disappearance of CFs in the plasma after 2 months of treatment with EGb 761 (3 x 40 mg/d).",Ginkgo nut,Ginkgo biloba,17,SOD,Ginkgo biloba extract EGb 761,blood cultures,"100 micrograms/ml (CF-treated blood cultures), 3 x 40 mg/d (treatment in liquidators)","inhibited CF-induced chromosome damage by acting as a superoxide scavenger, similar to SOD",NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
7698262,"An original model of experimental proliferative vitreoretinopathy consisting of an intravitreal injection of 10(7) human platelets and 1 IU of hyaluronidase was developed in pigmented rabbits. One group of 11 eyes served as non-treated controls. Two other groups of 11 eyes each received Ginkgo Biloba extracts which are known free radical scavengers (EGb761, Ipsen, France), given orally in two doses, 50 mg kg-1 day-1 and 100 mg kg-1 day-1 respectively, from the day after the platelet injection to the end of the first month. The fourth group (11 eyes) was intravenously injected with a unique dose of 15000 U kg-1 of superoxide dismutase the day after platelet injection. All animals were ophthalmoscopically examined in a masked fashion twice a week for 1 month and killed at the end of the experiment for histological analysis. Vitreoretinal proliferation was graded according to a six-stage classification. The non-treated eyes showed a high rate of retinal detachment (11/11 eyes), with a mean final score of 3.91 +/- 0.94. Histologic examinations consistently showed retinal retraction by fibrocellular preretinal membranes spreading to both surfaces of the retina as well as preretinal neovascularization. Many cells positively reacted with anti-cytokeratin or anti-vimentin monoclonal antibodies. All three groups of treated eyes showed significantly lower scores of vitreoretinal proliferation at almost each time point of examination. At the end of the study, five retinal detachments were found in the EGb761 group at 50 mg kg-1 day-1 (mean final score 2.45 +/- 1.37), only one in the group receiving 100 mg kg-1 day-1 (mean score 1.64 +/- 1.03), and one in the SOD treated eyes. The lowest mean score found at day 28 was observed in the group receiving SOD (1.36 +/- 1.43), although this group presented during the first 3 weeks with an intense vitreous and sometimes anterior chamber inflammation. Statistical comparison between treatments did not show significant differences at most time points of the study. These results demonstrate that antioxidants may efficiently prevent preretinal proliferation, in clinicopathological entities where free radicals had not yet been shown to play a direct pathogenetic role. They are also among the first attempts for inhibiting preretinal proliferations with non-cytotoxic agents and using a non-ocular route.",Ginkgo nut,Ginkgo biloba,17,SOD,EGb761,rabbit,"50 mg kg-1 day-1, 100 mg kg-1 day-1",,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
8412504,"The meat, seed and pulp of Carica papaya Linn., a popular traditional medicinal herb grown in the tropics, was shown by the agar-cup method to be bacteriostatic against several enteropathogens such as Bacillus subtilis, Enterobacter cloacae, Escherichia coli, Salmonella typhi, Staphylococcus aureus, Proteus vulgaris, Pseudomonas aeruginosa, and Klebsiella pneumoniae. The same parts of papaya were unequivocably demonstrated by electron spin resonance spectrometry to scavenge 1,1-diphenyl-2-picrylhydrazyl (5.8 x 10(14) spins/ml), hydroxyl (5.1 x 10(14) spins/ml) and superoxide (1.2 x 10(14) spins/ml) radicals with the seed giving the highest activity at concentrations (IC50) of 2.1, 10.0 and 8.7 mg/ml, respectively. The superoxide dismutase (SOD)-like activity in the meat, seed and pulp amounts to about 32, 98 and 33 units/ml; comparable to those of soybean paste miso, rice bran and baker's yeast. Vitamin C, malic acid, citric acid and glucose are some of the possible antioxidative components in papaya. Our study correlates the bacteriostatic activity of papaya with its scavenging action on superoxide and hydroxyl radicals which could be part of the cellular metabolism of such enteropathogens. This is indicative of the pathophysiological role of these reactive oxygen species in gastrointestinal diseases and papaya's ability to counteract the oxidative stress.",Papaya,Carica papaya,11,SOD,,,IC50 = 8.7 mg/ml (superoxide radicals),exhibited SOD-like activity of 98 units/ml,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
8446362,"We investigated the contribution of scavenging of oxygen free radicals to retinal ion contents during ischemia and reperfusion with the use of superoxide dismutase (SOD, Sigma), allopurinol (Sigma), EGB 761 (extract of Ginkgo biloba, Tanakan, IPSEN, Paris, France) and allopurinol plus EGB 761 in the rat. SOD (15,000 U/kg/day), allopurinol (50 mg/kg/day), EGB 761 (100 mg/kg/day) and allopurinol (50 mg/kg/day) plus EGB 761 (100 mg/kg/day) were administered for 10 days, respectively. Then, the eyes were subjected to 90 min of ischemia followed by 4 and 24 h of reperfusion, respectively. Retinal Na+, K+, Ca2+ and Mg2+ contents were measured by atomic absorption spectrophotometry after the washing out of blood and extracellular fluid from the vasculature. SOD, EGB 761 and the combination of EGB 761 with allopurinol significantly reduced the ischemia/reperfusion-induced Na+ and Ca2+ accumulation and K+ loss in ischemic/reperfused retinal tissue. Allopurinol alone failed to reduce the maldistribution of Na+, Ca2+ and K+ induced by ischemia/reperfusion in the retina. Neither intervention inhibited the cell Mg2+ loss which was observed during ischemia and reperfusion. Despite the responsible mechanisms remaining controversial, many studies confirmed that ischemia/reperfusion could trigger very sudden metabolic, electrophysiologic, morphologic and functional changes. There is general agreement that major ionic shifts are implicated; what triggers these changes is unclear, although many investigators believe that free radicals and oxidant stress may be important.(ABSTRACT TRUNCATED AT 250 WORDS)",Ginkgo nut,Ginkgo biloba,17,SOD,EGB 761,rat,100 mg/kg/day,,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
8737713,"The effects of an extract of Ginkgo biloba (EGb 761) on arteriolar spasm were confirmed using a preparation of rat cremaster muscle. When vasospasm was induced by rat serum, arteriolar constriction reached 25-30% of the initial diameter after 10 min. Intravenous injection of EGb 761 (30 mg/kg) 5 min after inducing spasm inhibited about 80% of this serum-induced vasoconstriction. As previous studies have shown that EGb 761 has an antiaggregatory effect on platelets, thrombin, serotonin (platelet-derived compounds that are present in the serum) and a thromboxane analogue (U46619) were also used to induce vasospasm. Administration of EGb 761 (30 mg/kg) 5 min after exposure of the preparation to serotonin (10(-3) M) or 10 min after exposure to thrombin (20 units) did not affect vasospasm induced by these agents. In contrast, treatment with this same dose of EGb 761 5 min after exposure of the preparation to U46619 (10(-4) M) abolished the arteriolar constriction induced by this agent in 15 min. The thromboxane/prostaglandin H2 receptor antagonist SQ29548 antagonized serum-induced vasospasm, indicating an involvement of thromboxane. Other experiments indicated that the effects of EGb 761 of counteracting vasospasm may be mediated in part by ginkgolide B, a triterpene constituent of the extract that is an antagonist of platelet-activating factor and in part by an 'NO-like' action of its proanthocyanidin constituents. Taken together, these results have revealed that EGb 761 treatment can antagonize the vasoconstrictor effect of thromboxane on arterioles. As thromboxane is implicated in many cardiovascular disorders, this property of EGb 761 may explain some of its beneficial clinical effects in such pathologies.",Ginkgo nut,Ginkgo biloba,17,NO,EGb 761,rat cremaster muscle,30 mg/kg,exerts an 'NO-like' action,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
8868056,"The influence of ginkgo biloba extract on the lipid peroxide product (malondialdehyde, MDA), glutathione (GSH) and phospholipids levels as well as superoxide dismutase (SOD, 1.15.1.1) and lactate dehydrogenase (LDH, 1.1.1.27) activities in rat brain after occlusion of common carotid arteries was investigated. Two experimental models were studied: 60 min ischaemia without reperfusion and 60 min ischaemia followed by 60 min reperfusion. Compared to sham-operated animals, ischaemia followed by reperfusion increased cytosolic LDH activity and mitochondrial lipid peroxide content and decreased the superoxide dismutase activity and mitochondrial total phospholipids level. Preischaemic administration of ginkgo biloba extract (150 mg kg-1, p.o.) could normalize the SOD activity of the rat brain. The extract was also able to reduce the lipid peroxide and phospholipids contents of the mitochondrial rat brain. These effects could be explained on the basis of the antioxidant property of ginkgo biloba extract and suggests its beneficial role in the protection against post-ischaemic injury.",Ginkgo nut,Ginkgo biloba,17,SOD; GSH,ginkgo biloba extract,rat,"150 mg kg-1, p.o.",normalized SOD activity,Glutathione redox defense pathway; NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Oxidative stress; Redox defense; Redox reset,Liver Health / Fibrosis; Longevity & Cellular Resilience
9113109,"The present study was conducted to evaluate the effect of Ginkgo biloba extract (EGb 761) on the synthesis of nitric oxide (NO) induced by lipopolysaccharide (LPS) plus interferon-gamma (IFN-gamma) in the mouse macrophage cell line RAW 264.7. EGb 761 inhibited nitrite and nitrate production, taken as an index for NO, in a concentration-dependent fashion. The IC50 for inhibition of nitrite production by activated macrophages was about 100 micrograms/mL EGb 761. The inducible NO synthase (iNOS) enzyme activity of cytosolic preparations from activated RAW 264.7 cells was inhibited by treatment with EGb 761. In addition, reverse transcription-polymerase chain reaction (RT-PCR) analysis revealed that the expression of iNOS mRNA in activated macrophages was suppressed by high concentrations of EGb 761. However, NF-kappa B DNA binding activity induced by activation with LPS/IFN-gamma was not inhibited by EGb 761. These findings indicate that not only does EGb 761 directly act as an NO scavenger but also that it inhibits NO production in LPS/IFN-gamma-activated macrophages by concomitant inhibition of induction of iNOS mRNA and the enzyme activity of iNOS. Thus, EGb 761 may act as a potent inhibitor of NO production under tissue-damaging inflammatory conditions.",Ginkgo nut,Ginkgo biloba,17,NO,Ginkgo biloba extract,RAW 264.7,IC50 = 100 μg/mL,inhibited nitrite and nitrate production (index for NO) in a concentration-dependent manner and acted as an NO scavenger,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
