docked_structure,compound,target
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000425BOLTZ.pdb,NYB0000425BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000525BOLTZ.pdb,NYB0000525BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000528BOLTZ.pdb,NYB0000528BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000540BOLTZ.pdb,NYB0000540BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000565BOLTZ.pdb,NYB0000565BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000566BOLTZ.pdb,NYB0000566BOLTZ,RPS6KB1
https://workflow-data-2sa8.vercel.app/data/docking/NYB0542804BOLTZ.pdb,NYB0542804BOLTZ,RPS6KB1




