docked_structure,compound,target,delta_g
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000425VINA.pdb,NYB0000425VINA,RPS6KB1,-5.715
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000525VINA.pdb,NYB0000525VINA,RPS6KB1,-2.678
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000528VINA.pdb,NYB0000528VINA,RPS6KB1,-3.619
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000540VINA.pdb,NYB0000540VINA,RPS6KB1,-4.426
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000565VINA.pdb,NYB0000565VINA,RPS6KB1,-3.722
https://workflow-data-2sa8.vercel.app/data/docking/NYB0000566VINA.pdb,NYB0000566VINA,RPS6KB1,-3.719
https://workflow-data-2sa8.vercel.app/data/docking/NYB0542804VINA.pdb,NYB0542804VINA,RPS6KB1,-3.338




