smiles,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Br/C(I)=C\C(Br)Br,404.66,7,0,0.33,1,0,0,52.63,0,2.47,3.52,3.77,3.62,3.21,3.32,-4.5,1.28E-02,3.16E-05,Moderately soluble,-3.2,2.53E-01,6.25E-04,Soluble,-3.44,1.46E-01,3.61E-04,Soluble,Low,Yes,No,No,No,Yes,No,No,-6.27,0,1,0,0,2,0.55,0,2,2,3.24
BrC(Br)=CC(Br)Br,357.66,7,0,0.33,1,0,0,47.54,0,2.48,3.76,3.73,3.46,2.92,3.27,-4.36,1.56E-02,4.36E-05,Moderately soluble,-3.45,1.26E-01,3.52E-04,Soluble,-3.38,1.48E-01,4.15E-04,Soluble,Low,Yes,No,No,No,Yes,No,No,-5.81,0,1,0,0,2,0.55,0,1,2,2.97
BrC(Br)Br,252.73,4,0,1,0,0,0,30.53,0,1.78,2.77,2.45,2.42,2.7,2.42,-3.15,1.78E-01,7.05E-04,Soluble,-2.43,9.48E-01,3.75E-03,Soluble,-2.49,8.18E-01,3.24E-03,Soluble,Low,Yes,No,No,No,No,No,No,-5.87,0,2,0,0,2,0.55,0,1,0,3.56
BrC(I)=CC(Br)Br,404.66,7,0,0.33,1,0,0,52.63,0,2.47,3.52,3.77,3.62,3.21,3.32,-4.5,1.28E-02,3.16E-05,Moderately soluble,-3.2,2.53E-01,6.25E-04,Soluble,-3.44,1.46E-01,3.61E-04,Soluble,Low,Yes,No,No,No,Yes,No,No,-6.27,0,1,0,0,2,0.55,0,2,2,3.24
BrCC(Br)CBr,280.78,6,0,1,2,0,0,40.14,0,2.14,2.57,2.54,3.13,2.51,2.58,-3.07,2.40E-01,8.55E-04,Soluble,-2.22,1.70E+00,6.05E-03,Soluble,-3.29,1.44E-01,5.12E-04,Soluble,Low,Yes,No,No,No,No,No,No,-6.19,0,1,0,0,2,0.55,0,1,0,3.07
BrCC(Br)CCC(Br)CBr,401.76,10,0,1,5,0,0,62.44,0,2.88,4.11,4.08,4.48,4.06,3.92,-4.59,1.03E-02,2.57E-05,Moderately soluble,-3.82,6.14E-02,1.53E-04,Soluble,-4.92,4.77E-03,1.19E-05,Moderately soluble,Low,Yes,No,No,No,Yes,No,No,-5.83,1,0,0,0,1,0.55,0,1,2,3.81
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,551.49,12,6,0,0,0,0,72.64,0,3.04,6.07,6.26,6.53,5.97,5.57,-7.45,1.94E-05,3.52E-08,Poorly soluble,-5.85,7.79E-04,1.41E-06,Moderately soluble,-7.27,2.96E-05,5.37E-08,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.35,2,3,0,1,2,0.17,0,2,2,1.98
BrCCC(CBr)C1CCCCC1,298.06,12,0,1,4,0,0,63.81,0,3.17,5.1,4.36,4.36,4.32,4.26,-4.64,6.88E-03,2.31E-05,Moderately soluble,-4.84,4.27E-03,1.43E-05,Moderately soluble,-4.27,1.59E-02,5.33E-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-4.5,1,0,0,0,2,0.55,0,1,1,4.02
BrCCCCCCCCCCBr,300.07,12,0,1,9,0,0,65.92,0,3.67,5.83,4.9,4.76,4.79,4.79,-4.78,4.99E-03,1.66E-05,Moderately soluble,-5.6,7.52E-04,2.51E-06,Moderately soluble,-5.62,7.18E-04,2.39E-06,Moderately soluble,Low,No,No,Yes,No,Yes,No,No,-3.99,1,0,0,0,2,0.55,0,1,2,3.56
BrCCCCCCCCCCCCCCCCCCCCCCBr,468.39,24,0,1,21,0,0,123.61,0,6.5,11.84,9.58,7.54,10.05,9.1,-8.82,7.13E-07,1.52E-09,Poorly soluble,-11.84,6.81E-10,1.45E-12,Insoluble,-10.35,2.12E-08,4.52E-11,Insoluble,Low,No,Yes,Yes,No,No,No,No,-0.75,1,1,1,1,3,0.55,0,1,3,4.89
BrCCCCCCCCCCCI,361.1,13,0,1,10,0,0,75.82,0,3.92,7.27,5.33,5.15,5.51,5.43,-6,3.62E-04,1.00E-06,Moderately soluble,-7.1,2.90E-05,8.03E-08,Poorly soluble,-6.09,2.96E-04,8.18E-07,Poorly soluble,Low,No,No,Yes,No,Yes,No,No,-3.34,1,0,0,0,2,0.55,0,2,3,4
BrCCCCCCCOC1CCCCO1,279.21,15,0,1,8,2,0,67.72,18.46,3.59,3.67,3.88,2.9,4,3.61,-3.36,1.23E-01,4.41E-04,Soluble,-3.75,5.00E-02,1.79E-04,Soluble,-4.2,1.75E-02,6.28E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.4,0,0,0,0,0,0.55,0,1,2,4.05
BrCCCCCOC1CCCCC1,249.19,13,0,1,6,1,0,61.83,9.23,3.32,3.72,3.9,3.16,3.85,3.59,-3.33,1.16E-01,4.65E-04,Soluble,-3.61,6.18E-02,2.48E-04,Soluble,-3.94,2.87E-02,1.15E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.18,0,0,0,0,1,0.55,0,1,2,2.97
